No,NOPOSHUJAN,WMOID,Nama,PULAU,PROV,LAT,LON
73,36710106a,96735,Stasiun Geofisika Tangerang,JAWA,Banten,-6.1,106.38
74,36730603a,96737,Stasiun Meteorologi Maritim Serang,JAWA,Banten,-6.11185,106.11
75,36032002a,96739,Stasiun Meteorologi Budiarto,JAWA,Banten,-6.2867,106.56389
76,31720203a,96741,Stasiun Meteorologi Maritim Tanjung Priok,JAWA,DKI Jakarta,-6.10781,106.88053
77,31710305a,96745,Stasiun Meteorologi Kemayoran,JAWA,DKI Jakarta,-6.15559,106.84
78,TidakAda,96747,Halim Perdana Kusuma Jakarta,JAWA,DKI Jakarta,-6.27036,106.88926
79,36710402a,96749,Stasiun Meteorologi Soekarno Hatta,JAWA,Banten,-6.12,106.65
80,TidakAda,96751,Stasiun Meteorologi Citeko,JAWA,Jawa Barat,-6.7,106.85
81,32710401a,96753,Stasiun Klimatologi Bogor,JAWA,Jawa Barat,-6.5,106.75
82,TidakAda,96783,Stasiun Geofisika Bandung,JAWA,Jawa Barat,-6.88356,107.59733
83,TidakAda,96791,Stasiun Meteorologi Kertajati,JAWA,Jawa Barat,-6.7344,108.263
84,TidakAda,96793,Pos Meteorologi Penggung,JAWA,Jawa Barat,-6.7553,108.53904
85,33760101a,96797,Stasiun Meteorologi Tegal,JAWA,Jawa Tengah,-6.86817,109.12103
86,33012202a,96805,Stasiun Meteorologi Tunggul Wulung,JAWA,Jawa Tengah,-7.7189,109.0149
87,33040903a,96807,Stasiun Geofisika Banjarnegara,JAWA,Jawa Tengah,-7.333,109.7069
88,33741301a,96835,Stasiun Klimatologi Semarang,JAWA,Jawa Tengah,-6.9847,110.3812
89,33740204a,96837,Stasiun Meteorologi Maritim Tanjung Emas,JAWA,Jawa Tengah,-6.9486,110.4199
90,33741307a,96839,Stasiun Meteorologi Ahmad Yani,JAWA,Jawa Tengah,-6.97683,110.3778
91,34040602a,96851,Stasiun Klimatologi Sleman,JAWA,DI Yogyakarta,-7.731,110.354
92,34040104a,96855,Stasiun Geofisika Sleman,JAWA,DI Yogyakarta,-7.82,110.3
93,35251701a,96925,Stasiun Meteorologi Sangkapura,JAWA,Jawa Timur,-5.8511,112.6578
94,35781501a,96933,Stasiun Meteorologi Perak I,JAWA,Jawa Timur,-7.2236,112.7239
95,TidakAda,96935,Stasiun Meteorologi Juanda,JAWA,Jawa Timur,-7.3846,112.7833
96,35781202a,96937,Stasiun Meteorologi Maritim Tanjung Perak,JAWA,Jawa Timur,-7.2053,112.7353
97,35231203a,96939,Stasiun Meteorologi Tuban,JAWA,Jawa Timur,-6.8229,111.99177
98,TidakAda,96943,Stasiun Klimatologi Malang,JAWA,Jawa Timur,-7.9008,112.5979
99,35141004a,96945,Stasiun Geofisika Pasuruan,JAWA,Jawa Timur,-7.70456,112.63533
100,TidakAda,96949,Stasiun Geofisika Malang,JAWA,Jawa Timur,-8.15,112.45
101,35290202a,96973,Stasiun Meteorologi Kalianget,JAWA,Jawa Timur,-7.03976,113.914
